keyword_id,canonical_keyword,variations,cell,segment,factor,occupation_group,best_stage,national_zero_months,regional_final_tier,active_v25,recommended_action
REVIEW_PIDRAN_TIKTOK,ปิดร้าน Tiktok,,,,,,WEAK,40,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
REVIEW_PIDRAN_TIKTOK_SHOP,ปิดร้าน Tiktok Shop,,,,,,WEAK,59,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
BACKUP-FP01,เรซูเม่สมัครงานตัวอย่าง,resume ตัวอย่าง | เรซูเม่สมัครงานตัวอย่าง,FP,Formal,Pull,general,candidate_only,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
BACKUP-FP02,เปลี่ยนงาน,หางานใหม่ | เปลี่ยนงาน,FP,Formal,Pull,general,candidate_only,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP001,Cover letter ตัวอย่าง,Cover letter ตัวอย่าง | จดหมายสมัครงาน ตัวอย่าง | ตัวอย่าง cover letter,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP002,Interview เทคนิค,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP003,LinkedIn หางาน,LinkedIn หางาน | หางาน LinkedIn | หางาน linkedin,FP,Formal,Pull,White-collar,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP004,Portfolio สมัครงาน,Portfolio สมัครงาน | พอร์ตโฟลิโอ สมัครงาน,FP,Formal,Pull,Creative,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP005,jobsdb,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP006,jobthai,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP007,ข้าราชการ สอบบรรจุ,,FP,Formal,Pull,Public-sector,national_pass,0,Archive,N,Archive จาก region/tier review
FP008,งานราชการ รับสมัคร,,FP,Formal,Pull,Public-sector,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP009,ฐานเงินเดือน,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP010,ทดลองงาน กี่เดือน,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP011,รัฐวิสาหกิจ รับสมัคร,,FP,Formal,Pull,Public-sector,national_pass,6,Archive,N,Archive จาก region/tier review
FP012,รับสมัครพนักงาน,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP013,วิธีทำเรซูเม่,วิธีทำ resume | วิธีทำเรซูเม | วิธีทำเรซูเม่,FP,Formal,Pull,general,WEAK,41,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP014,สมัครงาน,,FP,Formal,Pull,general,active_v25,0,T1,Y,ใช้ได้แล้วใน Interactive v25
FP015,สวัสดิการดีบริษัท,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP016,สอบ ก.พ. ภาค ก,,FP,Formal,Pull,Public-sector,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP017,สัญญาจ้างงาน,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP018,สัมภาษณ์งาน,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP019,หางาน,,FP,Formal,Pull,general,active_v25,0,T1,Y,ใช้ได้แล้วใน Interactive v25
FP020,หางาน work from home,,FP,Formal,Pull,White-collar,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP021,หางาน จบใหม่,,FP,Formal,Pull,general,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP022,หางาน ต่างจังหวัด,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP023,หางาน นิคมอุตสาหกรรม,,FP,Formal,Pull,Blue-collar,active_v25,2,Archive,Y,ใช้ได้แล้วใน Interactive v25
FP024,หางาน ประสบการณ์น้อย,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP025,หางาน เงินเดือน 20000,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP026,หางาน โรงงาน,,FP,Formal,Pull,Blue-collar,active_v25,0,T2,Y,ใช้ได้แล้วใน Interactive v25
FP027,เงินเดือนสตาร์ท,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP028,เด็กจบใหม่ หางาน,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP029,เปลี่ยนงาน,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP030,เรซูเม่,resume | เรซูเม | เรซูเม่,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP031,เรียกเงินเดือนเท่าไหร่ดี,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP032,แนะนำตัว สัมภาษณ์,,FP,Formal,Pull,general,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP033,งานประจำมีประกันสังคม,,FP,Formal,Pull,general,WEAK,54,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP034,สมัครงานพนักงานฝ่ายผลิต,งานพนักงานฝ่ายผลิต | สมัครงานพนักงานฝ่ายผลิต,FP,Formal,Pull,Blue-collar,WEAK,33,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP035,งานโรงงานวุฒิ ม.6,,FP,Formal,Pull,Blue-collar,WEAK,43,,N,มี National data แต่สัญญาณอ่อน ใช้เป็น context หรือรอคำแทน
FP036,สมัครงานธุรการ วุฒิ ปวส,,FP,Formal,Pull,White-collar,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP037,งานบริษัทวุฒิปริญญาตรี,,FP,Formal,Pull,White-collar,proposed,,,N,มีใน candidate/source pool แต่ยังไม่พบผล scrape
FP038,สอบครูผู้ช่วย,,FP,Formal,Pull,Public-sector,active_v25,0,T1,Y,ใช้ได้แล้วใน Interactive v25
